iter	Passed	Remaining
0	1	130
1	2	119
2	3	112
3	4	112
4	5	110
5	7	111
6	8	113
7	10	117
8	11	116
9	12	116
10	14	116
11	15	115
12	17	114
13	18	116
14	20	115
15	21	113
16	23	112
17	24	112
18	26	111
19	27	110
20	28	108
21	30	107
22	31	105
23	32	103
24	34	102
25	35	101
26	36	99
27	38	98
28	39	97
29	41	95
30	42	94
31	44	93
32	45	93
33	47	92
34	48	90
35	49	88
36	50	86
37	51	84
38	53	82
39	54	81
40	55	79
41	56	77
42	57	75
43	58	73
44	59	72
45	60	70
46	61	68
47	61	67
48	62	65
49	63	63
50	64	61
51	65	60
52	66	59
53	67	57
54	68	55
55	69	54
56	70	53
57	71	52
58	72	50
59	73	49
60	74	47
61	75	46
62	76	45
63	78	44
64	80	43
65	81	41
66	82	40
67	83	39
68	84	38
69	85	36
70	86	35
71	88	34
72	89	33
73	90	31
74	92	30
75	93	29
76	95	28
77	96	27
78	97	25
79	99	24
80	100	23
81	101	22
82	102	21
83	104	19
84	105	18
85	106	17
86	108	16
87	109	14
88	110	13
89	112	12
90	113	11
91	115	10
92	117	8
93	118	7
94	120	6
95	122	5
96	123	3
97	124	2
98	126	1
99	127	0
